storeName,address,province,city,longitude,latitude,外国餐厅,中餐厅,茶艺馆,甜品店,娱乐场所,咖啡厅,冷饮店,快餐厅,住宅区,楼宇,商场,培训机构,学校
西安子午路银泰店,"陕西省西安市雁塔区小寨西路26号朱雀大厦一层L1-16单元",陕西省,西安市,108.94038329,34.2233859999999,6,89,5,0,1,8,4,39,30,11,3,13,1
台州椒江银泰城店,"浙江省台州市椒江区中心大道3899号银泰城1楼141单元",浙江省,台州市,121.40034028,28.62411778,2,6,0,0,0,1,2,4,0,1,1,3,0
苏州观前街1号店,"江苏省苏州市观前街1-53号",江苏省,苏州市,120.628179073464,31.3110701513024,30,241,12,12,20,22,47,87,30,16,23,61,3
长春欧亚新生活店,"长春市朝阳区工农大路1899号",吉林省,长春市,125.30605859,43.8646971,14,127,5,1,6,15,3,48,15,7,3,16,0
苏州中翔时尚广场店,"江苏省苏州市相城区嘉元路1060号的第一层的A003、A004、嘉09、嘉10单元",江苏省,苏州市,120.621298,31.370329,1,27,2,0,0,1,1,11,4,5,2,23,0
连云港苏宁广场店,"江苏省连云港市新浦区通灌北路58号苏宁广场一层",江苏省,连云港市,119.18531813,34.59857568,19,191,2,2,2,8,20,96,19,16,7,52,0
福州青年会分店,"福州市台江区苍霞路 13 号第一层的 101 单元",福建省,福州市,119.31017966,26.0504218399999,10,90,4,4,5,8,9,44,26,16,10,27,0
环贸广场办公楼店,"上海市徐汇区淮海中路999号环贸广场办公楼一期，2层大堂区域200室",上海市,上海市,121.458435,31.215305,55,133,8,11,13,72,26,43,187,28,5,19,2
郑州CBD七天地店,"郑州市郑东新区众意路丹尼斯第七天地一层710001单元星巴克",河南省,郑州市,113.72255025,34.77768051,9,46,3,1,1,8,5,35,9,14,7,12,0
长沙时代奥特莱斯店,"湖南省长沙市金洲新区工业集中区欧洲北路时代奥特莱斯广场1F",湖南省,长沙市,112.68898332,28.26946711,2,2,0,0,0,1,0,4,0,0,1,0,0
重庆香江财富中心店,"重庆市渝北区洪湖东路1号重庆财富购物中心1层L1-25-2/26单元",重庆市,重庆市,106.50913,29.609065,7,42,7,1,1,12,2,31,9,11,1,18,0
珠海九洲港店,"珠海市香洲区吉大情侣南路599号一层",广东省,珠海市,113.59237462,22.23892798,0,10,1,0,1,2,0,4,5,1,0,0,0
东莞思朗广场店,"东莞市南城街道西平社区西平三路26号思朗广场3号商业楼商铺125和商铺126",广东省,东莞市,113.750440478324,22.9890196485968,4,94,2,2,8,11,5,25,12,15,0,70,0
广州白云汇店,"广州白云区黄石东路88号首层102单元及二层202、203单元",广东省,广州市,113.268718,23.202932,6,60,1,1,1,4,9,38,19,17,1,26,0
淮南新世界店,"淮南市田家庵区朝阳中路40号新世界商场一楼",安徽省,淮南市,117.014088034629,32.6404093246446,37,273,2,16,13,5,19,221,14,6,12,61,1
北京陈家营西路店,"北京市昌平区陈家营西路3号院23号楼 招商嘉铭珑原商业楼 1层101-2单元",北京市,北京市,116.40119101,40.04092948,0,1,0,0,0,1,0,0,9,0,0,1,0
上海陆家嘴中心店,"上海市浦东新区浦东南路899号511B单元",上海市,上海市,121.522977948188,31.2301651047396,73,248,5,9,16,28,28,194,113,33,14,61,3
宁波北仑富邦店,"浙江省宁波市北仑区富邦街62号3单元",浙江省,宁波市,121.843216,29.893811,9,52,4,1,4,2,2,18,10,2,3,36,0
青岛流亭机场第二分店,"青岛市城阳区流亭街道民航路99号T1航站楼一楼F-I-3",山东省,青岛市,120.387278,36.266564,5,14,0,0,2,8,4,9,0,4,1,1,0
宁波银泰万达店,"浙江省宁波市鄞州区四明中路909号万达广场银泰百货1F",浙江省,宁波市,121.54788891,29.82649157,21,126,2,7,7,11,20,35,14,5,4,59,1
深圳京基100大厦分店,"深圳市罗湖区深南东路5016号京基100大厦A座首层101号铺",广东省,深圳市,114.1068865,22.54305134,30,156,5,7,6,17,12,57,29,40,6,71,7
绍兴上虞万和城店,"浙江省绍兴市上虞区市民大道688号",浙江省,绍兴市,120.876617,30.032243,21,117,2,6,6,7,11,50,6,11,4,30,0
昆山花桥商务城店,"江苏省苏州市昆山市花桥经济技术开发区花安路171号2#1-2#4",江苏省,苏州市,121.147074937689,31.2890511106893,4,79,0,0,2,2,6,48,15,11,1,4,0
重庆火车北站店,"重庆市渝北区火车北站北广场候车室1F",重庆市,重庆市,106.55050042,29.6101346899999,0,33,2,1,0,3,2,9,3,0,0,0,0
苏州昆山超华欧尚店,"苏州市昆山玉山镇白马泾路46号1室一层A101号商铺",江苏省,苏州市,120.94141044,31.37951266,5,52,2,3,1,4,3,22,10,7,5,32,0
中山远洋城大信新都汇店,"中山市东区博爱六路28号远洋广场大信新都汇首层1F103a单元",广东省,中山市,113.418502829999,22.5036398499999,8,49,1,1,1,5,7,26,5,2,4,18,0
西宁海湖万达店,"青海省西宁市海湖新区海湖万达广场购物中心1F",青海省,西宁市,101.716343749999,36.64300593,18,212,0,8,15,7,23,86,8,22,8,15,0
天津金谷大厦店,"天津市和平区解放北路与哈尔滨道交口东北侧金之谷大厦1-107单元",天津市,天津市,117.20922992,39.13137221,5,56,1,1,8,6,1,28,14,21,3,12,0
杭州鑫都汇店,"浙江省杭州市滨江区江陵路336号一层101-5单元",浙江省,杭州市,120.218528,30.183096,4,59,0,0,0,4,3,67,7,8,1,6,0
南宁百货文化宫店,"南宁市兴宁区民主路20号工人文化宫地下一层（即南宁百货文化宫地上一层）LG-19号铺位",广西壮族自治区,南宁市,108.32443385,22.82049692,6,161,2,7,5,2,23,52,54,20,6,29,1
南京金茂汇店,"江苏省南京市鼓楼区中央路201号第一层110店铺",江苏省,南京市,118.783556342059,32.0718654814365,14,53,4,3,5,9,8,38,44,14,3,22,4
汇商大厦店,"上海市浦东新区民生路1286号102、103、105单元",上海市,上海市,121.5492642,31.22465267,9,25,2,4,4,16,4,20,20,18,1,10,0
天津和平路咖啡店,"天津市和平区和平路263号天津天津天河城购物中心一层123号商铺",天津市,天津市,117.20397379,39.12660395,27,252,2,7,7,16,33,90,32,23,9,11,1
西安立丰百盛店,"西安市碑林区金花南路59号",陕西省,西安市,108.99716675,34.2473230599999,12,133,2,8,0,3,11,22,22,2,3,41,0
宁波宁海太平洋国购店,"浙江省宁海市中山中路1号",浙江省,宁波市,121.4272702,29.29803114,5,75,4,1,1,4,6,30,13,9,3,22,0
苏州永旺梦乐城吴中店,"江苏省吴中区越溪苏震桃路188号",江苏省,苏州市,120.612363695836,31.194161694218,8,33,1,3,0,4,12,9,0,0,4,6,0
佛山南海嘉信茂广场店,"佛山市南海区桂城街道南海大道北75号嘉信茂广场首层01-31/31A/32/33/33A单元",广东省,佛山市,113.14095494,23.03256283,10,107,2,2,1,10,3,42,33,32,4,23,0
上海光大安石中心店,"杨浦区霍山路386号1层01",上海市,上海市,121.51526606096,31.256949782783,1,49,1,1,0,6,5,18,56,36,3,9,2
九江联盛快乐城,"江西省九江市经济技术开发区京九路9号联盛快乐城1F",江西省,九江市,115.97191409,29.7019435399999,9,159,4,1,1,2,3,44,37,4,2,21,0
杭州富阳银泰店,"浙江省杭州富阳市春秋北路271-1号银泰百货",浙江省,杭州市,119.941509,30.060338,15,188,1,5,2,4,11,54,15,1,3,21,1
芜湖金鹰新城市店,"芜湖市弋江区中山南路189号?芜湖金鹰新城市购物中心A103单元",安徽省,芜湖市,118.36594493,31.31701838,2,42,1,1,0,4,2,15,7,6,3,25,0
杭州嘉华店,"浙江省杭州市杭大路15号1-2F",浙江省,杭州市,120.14059233,30.26902281,9,46,4,1,7,11,2,17,100,20,0,26,2
衢州吾悦广场店,"浙江省衢州市柯城区白云中大道99号一层1019-2单元",浙江省,衢州市,118.849281,28.972353,10,30,1,1,0,1,2,29,4,6,3,15,0
深圳龙岗宝能店,"深圳市龙岗区中心城建设路宝能 All city L1-01、02号铺",广东省,深圳市,114.24810212,22.72456911,10,80,3,2,9,6,7,27,17,19,3,31,1
广州白云机场2店,"广州市花都区白云机场出发大厅西三指廊三楼B8005号",广东省,广州市,113.301161,23.390528,3,9,0,0,0,2,0,3,0,0,0,0,0
深圳凤凰路店,"广东省深圳市罗湖区凤凰路3号海珑华苑地上一层自编号L1-01的单元",广东省,深圳市,114.13241444,22.54720287,13,241,11,6,8,9,17,139,70,49,6,69,0
杭州天阳D32店,"杭州市拱墅区小河路306号1号楼一层A101号商铺",浙江省,杭州市,120.13636177,30.31451313,2,24,5,2,0,4,6,18,15,4,1,36,0
昆山百盛店,"江苏省昆山市玉山镇前进西路世贸广场昆山时尚百盛L1-25铺位",江苏省,苏州市,120.954342126715,31.3822733875333,8,140,4,2,11,11,12,32,34,8,9,56,2
